ID,UPA,EventDate,Employer,Address1,Address2,city,state,Zip,Latitude,Longitude,Primary_NAICS,Hospitalized,Amputation,Loss_Of_Eye,Inspection,FinalNarrative,Nature,NatureTitle,Part_of_Body,Part_of_Body_Title,Event,EventTitle,Source,sourceTitle,Secondary_Source,Secondary_Source_Title
"2025032662","2275522","2025-03-20","Patterson-UTI Drilling Company LLC","Rig 596","","RATLIFF CITY","OKLAHOMA","73481","34.43","-97.52","213111","0","1","0","","An employee fell onto a rig floor while a stand of drill pipe was being moved nearby. The employee had just braced himself, putting his hand out in front of him, when the stand of pipe was set down on the floor. It crushed the employee's left ring finger, resulting in an amputation to the finger.","1220"," Amputations, avulsions, enucleations  unspecified","4429"," Other finger(s)  n.e.c.","6619"," Injured by object handled by person  n.e.c.","4223"," Pipes, tubes  metal","5721"," Co-worker, supervisor  current"
"2025010176","2249622","2025-01-07","NorAm Drilling Company","Neal Ranch","31.4715965, -102.1316943","CRANE","TEXAS","79731","31.39","-102.35","213111","1","0","0","","An employee was spinning pipe together when a catwalk was pushed into the pipe and the box end of the drill pipe struck the employee in the back. The employee sustained fractures to two ribs and six transverse processes.","124"," Fractures   ","38"," Multiple trunk locations","60"," Contact incidents  unspecified","4223"," Pipes, tubes  metal","990"," Source, secondary source  unspecified"
"2025010920","2257145","2025-01-29","Centerline Drilling, Inc.","1501 Corporate Drive","Water Well 22E","BOYNTON BEACH","FLORIDA","33426","26.51","-80.07","213111","1","0","0","","An employee was uncovering a water well when a chemical or gas flash occurred. The employee was contacted by high-pressure gas and sustained burns to his face and left hand.","150"," Burns, corrosions, electrical injuries  unspecified","813"," Head and extremities","990"," Event or exposure  unspecified","10"," Chemicals and hazardous materials  unspecified","990"," Source, secondary source  unspecified"
"2025010937","2257481","2025-01-29","NexTier Completion Solutions","Van Berkom Location Well 4B Stage 37","","STANLEY","NORTH DAKOTA","58784","48.34","-102.41","213111","1","0","0","","An employee was in the cab of the blender, preparing for well injection at a fracking site. The driveline disengaged from the transmission and started striking the cage that encloses the driveline. This created sparks and ignited a fire. The employee sustained burns around their eyes and cheeks and burns to both hands.","1520"," Thermal burns  degree unspecified","813"," Head and extremities","324"," Vehicle or machinery fire ","3250"," Drilling and extraction machinery  unspecified","4626"," Transmissions, gears"
"2025010976","2258002","2025-01-30","Latshaw Drilling","Farm to Market road 1379","","MIDLAND","TEXAS","79706","31.88","-102.01","213111","1","0","0","","An employee was replacing an electrical guard at the power house when a wrench contacted a powerline. An arc flash occurred and the employee sustained burns to his right hand.","1531"," Electrical burns  any degree ","440"," Hand(s), finger(s)  unspecified","513"," Exposure to electric arc","4612"," Power lines, transformers, convertors","7144"," Wrenches, ratchets"
"2025021117","2259686","2025-02-04","Patterson UTI Drilling","N 31.8239 W - 104.0772","Rig 817","ORLA","TEXAS","79770","31.82","-103.9","213111","1","0","0","","A forklift was setting 8" non-magnetic collars onto a holder that an employee had placed on the ground. As the employee walked away from the holder, the collars rolled toward him and struck his lower left leg. The employee sustained a fractured ankle.","124"," Fractures   ","53"," Ankle(s)","663"," Struck by rolling, sliding, or shifting objects non-running","4649"," Machine and tool parts, accessories  n.e.c.","991"," Secondary source not applicable"
"2025021658","2264891","2025-02-19","Eastham Drilling, Inc.","Big E Drilling Rig 7","GPS Coordinates: 28.40262 N, 99.17467 W","CARRIZO SPRINGS","TEXAS","78834","28.5","-99.72","213111","1","0","0","","An employee was operating a forklift to drain some hoses of oil-based mud. The employee drove the forklift on soft and uneven ground, stopped, and raised the boom approximately forty feet to begin draining the hoses. As the employee stepped off the forklift, the soft ground gave way (impression of at least 9") and the forklift began tipping over. The employee was struck by the boom as it was falling and sustained a dislocated knee as well as a back injury.","141"," Dislocations","522"," Knee(s)","6432"," Struck by object tipping over","8629"," Industrial vehicle, material hauling and transport powered, n.e.c.","6635"," Ground irregularity"
"2025021704","2266034","2025-02-20","Power Rig, LLC","Mollie #4H","Intersection of State Hwy 58 and State Hwy 8","FAIRVIEW","OKLAHOMA","73737","36.3","-98.03","213111","1","0","0","","An employee was working on an oil and gas drilling rig and tripping pipe out of the hole. After the employee finished work and took off his gloves, he noticed his fingers had frostbite.","1711"," Frostbite ","4429"," Other finger(s)  n.e.c.","5322"," Exposure to environmental cold  outdoor","9541"," Cold environmental","991"," Secondary source not applicable"
"2025032020","2269023","2025-03-03","Patterson-UTI Drilling Company, LLC","Rig 596","GPS_Coordinates: N 34.43308, W ?97.52518","RATLIFF CITY","OKLAHOMA","73481","34.43","-97.52","213111","1","0","0","","An employee was standing on the ground while rolling a pony sub from the forks of a forklift onto a catwalk. The sub shifted and fell approximately two feet onto the top of their right safety boot. The employee was hospitalized with a fractured foot that required surgery.","124"," Fractures   ","540"," Foot (feet), toe(s)  unspecified","6439"," Struck by other falling object  n.e.c.","3259"," Drilling and extraction machinery  n.e.c.","8621"," Forklift, order picker, platform truck powered"
"2025032241","2271152","2025-03-09","Ensign US Southern Drilling LLC","40.38876  N, 104.88076  W","Ensign Rig 358","MILLIKEN","COLORADO","80543","40.38","-104.84","213111","1","0","0","1809929","Tubulars were being tripped out of the well at a work-over rig. A tubular was unlatched from the elevator and pulled into the derrick. It came into contact with the front of the diving board and was jolted back under the blocks, causing it to bow. It struck the head of an employee on the ground who was numbering the tubulars and guiding them onto the tubing board, and he fell back. He suffered a subarachnoid hemorrhage.","1112"," Cerebral and other intracranial hemorrhages without skull fracture  ","111"," Brain","640"," Struck by propelled, falling, or suspended object  unspecified","4223"," Pipes, tubes  metal","990"," Source, secondary source  unspecified"
"2025032390","2273406","2025-03-13","Harley Drilling and Producing Ltd.","8273 Burbank Road","","WOOSTER","OHIO","44691","40.89","-81.97","213111","0","1","0","1812051","An employee was working on a well. He turned the well on and off, trying to get the head of the well to come up. He then went to adjust the well with a wrench. To access the fittings at the front of the well, the employee put his wrench on the pulley bar to slow down the well. The employee's finger was pinched between the wrench and an angle iron, resulting in amputation to the left ring fingertip.","1220"," Amputations, avulsions, enucleations  unspecified","4421"," Finger or thumb tip(s), nail(s)","6611"," Injured by object held or wielded by person","7144"," Wrenches, ratchets","991"," Secondary source not applicable"
"2025010135","2249116","2025-01-06","Nabors Drilling Crosby Tx.","2100 Crosby Dayton Rd","","CROSBY","TEXAS","77532","29.92","-95.04","213111","0","1","0","","Employees were preparing to lift a grasshopper cable tray with an overhead crane. The brackets supporting the grasshopper on the ground collapsed, causing the stand of the grasshopper to fall and land on the injured employee's right foot, resulting in amputation of their right small toe.","1221"," Amputations involving bone loss","542"," Toes(s), toenail(s)","6439"," Struck by other falling object  n.e.c.","3252"," Oil well pump","4419"," Fasteners  n.e.c."
"2025032979","2278601","2025-03-31","SRP Environmental, LLC.","3345 Medpark Drive","","DENTON","TEXAS","76210","33.18","-97.09","213111","1","0","0","","An employee was lifting a manhole cover. The cord being used broke and the cover fell on the employee's foot. The employee sustained fractured toes.","124"," Fractures   ","542"," Toes(s), toenail(s)","6439"," Struck by other falling object  n.e.c.","4912"," Manhole and cistern covers","4420"," Ropes, ties, chains  unspecified"
"2025043094","2279785","2025-04-02","Nabors Drilling, Ltd","INTERSECTION OF HWY 85 ( BRUNDAGE ) AND FM 190","","GONZALES","TEXAS","78629","29.54","-97.54","213111","0","1","0","","An employee was installing the bottom bolt on a flange when a horizontal supporting board shifted, causing the flange to tilt toward the employee and the employee's left ring finger was caught between flanges. The employee sustained an amputation to the left ring fingertip including soft tissue and the tuft.","1221"," Amputations involving bone loss","4421"," Finger or thumb tip(s), nail(s)","664"," Caught or wedged between objects  nonrunning","4416"," Pipe fittings, collars","40"," Parts and materials  unspecified"
"2025043298","2282374","2025-04-09","H.A.D. Inc","9797 Benner Road","","RITTMAN","OHIO","44270","40.91","-81.78","213111","1","0","0","","At 3:47 p.m. on April 9, 2025, an employee was about to fill a tote with water on the back of a flatbed truck. When the water pump was turned on, the hose the employee was holding surged out of his hands. He lost his balance and fell to the ground 41 inches below the truck bed. His head struck the ground and he went unconscious and had a large bump on right side of his head about 1-2" above his ear. The employee was hospitalized.","1113"," Concussions","111"," Brain","4141"," Other fall to lower level  less than 6 feet","8434"," Other semi, tractor-trailer","345"," Pumps  except oil well"
"2025044044","2289162","2025-04-30","Berexco LLC","oil well site - no street address","","JOHNSON","KANSAS","67855","37.56","-101.7","213111","1","1","0","","An employee was using a motorized saw to cut the top off a test barrel. His left glove got caught and pulled into the saw, resulting in amputation of the index fingertip.  The employee was hospitalized. ","1220"," Amputations, avulsions, enucleations  unspecified","4421"," Finger or thumb tip(s), nail(s)","653"," Caught, entangled in running powered equipment  normal operation","7122"," Saws  except chainsaws","9217"," Gloves, handguards  except disposable, electric insulating"
"2025054177","2290091","2025-05-04","Helmerich & Payne Drilling, Inc.","Rig 625","","MENTONE","TEXAS","79754","31.71","-103.59","213111","1","0","0","","An employee was working on the rig floor when an electrical wire was plugged into an outlet and an arc flash (600V) occurred. The employee sustained burns to his left forearm, thumb, and index finger.","1531"," Electrical burns  any degree ","4819"," Hand(s) and arm(s)  n.e.c.","513"," Exposure to electric arc","4613"," Power cords, electrical cords, extension cords","991"," Secondary source not applicable"
"2025054232","2291186","2025-05-06","Cactus Drilling Company, LLC","SRH-1449 HM RM -33","","BIG LAKE","TEXAS","76932","31.41","-101.54","213111","1","0","0","","An employee was inspecting the liners of a mud pump that was making noise. The machine was shut down. As the pump was idling down, the inspection plate blew and knocked the employee back. Hot gear oil from the pump blew onto him, causing second-degree burns to his left arm and the left side of his face and ear. The employee was hospitalized.","1522"," Thermal burns  second degree","813"," Head and extremities","533"," Contact with hot objects or substances","1642"," Lubricating fluids ","3255"," Drilling fluids systems"
"2025054931","2298099","2025-05-25","Power Rig, LLC","Power Rig #1","","DOVER","OKLAHOMA","73734","35.98","-97.91","213111","0","1","0","","An employee was wiping oil off an engine radiator housing with a rag. The radiator fan sucked the rag through the shroud/guard along with three of the employee's fingers. The employee sustained amputations to his left index, middle, and ring fingertips.","1220"," Amputations, avulsions, enucleations  unspecified","4421"," Finger or thumb tip(s), nail(s)","652"," Struck by running powered equipment  during maintenance, cleaning, testing","30"," Machinery  unspecified","7179"," Cleaning handtools  n.e.c."
"2025065170","2300407","2025-06-01","Scandrill Inc","6 miles North of Pyote","","PECOS","TEXAS","79772","31.44","-103.57","213111","0","1","0","","An employee was pushing a stand of 4.5-inch drill pipe into position on the driller's side racking mat when he slipped and placed his hand down to catch himself. The stand was set down to floor level, landing on his left index finger. The finger was crushed, resulting in a partial amputation between the first and second knuckles.","1221"," Amputations involving bone loss","4429"," Other finger(s)  n.e.c.","4311"," Fall on same level resulting in exposure or contact ","6624"," Other constructed surface","3250"," Drilling and extraction machinery  unspecified"
"2025065232","2302005","2025-06-03","Ard Well Service, LLC","Unknown","","COLDSPRING","TEXAS","77331","30.58","-95.11","213111","0","1","0","","An employee was assisting in taking slips off the well and reached to pull the equipment. The brake slipped and the employee's index finger was crushed and amputated.","1221"," Amputations involving bone loss","4429"," Other finger(s)  n.e.c.","60"," Contact incidents  unspecified","3250"," Drilling and extraction machinery  unspecified","991"," Secondary source not applicable"
"2025065949","2310429","2025-06-23","Helmerich & Payne Drilling, Inc.","31.5498910 N / Long: -101.6812463 W","","MIDLAND","TEXAS","79701","31.99","-102.08","213111","1","0","0","","An employee was working to straighten up a lifting sub for a reamer while it was inside the automated floor wrench. The spinner doors closed, catching the employee's right forearm. The employee sustained a fractured right radius and a displaced fracture of the right ulna. The employee was hospitalized and required surgery.","124"," Fractures   ","423"," Forearm(s)","650"," Struck by running powered equipment  unspecified","3250"," Drilling and extraction machinery  unspecified","991"," Secondary source not applicable"
